Instant,Date,Season,Year,Month,Hour,Holiday,Weekday,Workingday,Weathersit,Temp_F,Temp_C,Temp_Normalized,Feelslike_Temp_F,Feelslike_Temp_C,Feelslike_Temp_Normalized,Humidity,Windspeed,Not_Registered,Registered,Count
55,1/3/11,1,0,1,9,0,1,1,1,43.808,6.56,0.16,44.276,6.82,0.1364,43,16.1573237,7,81,88
56,1/3/11,1,0,1,10,0,1,1,1,45.284,7.38,0.18,47.003,8.335,0.1667,43,10.56200212,11,33,44
57,1/3/11,1,0,1,11,0,1,1,1,46.76,8.2,0.2,48.362,9.09,0.1818,40,13.67190184,10,41,51
58,1/3/11,1,0,1,12,0,1,1,1,48.236,9.02,0.22,51.089,10.605,0.2121,35,12.42710931,13,48,61
59,1/3/11,1,0,1,13,0,1,1,1,49.712,9.84,0.24,51.089,10.605,0.2121,35,11.80679465,8,53,61
60,1/3/11,1,0,1,14,0,1,1,1,51.188,10.66,0.26,53.816,12.12,0.2424,30,11.80679465,11,66,77
61,1/3/11,1,0,1,15,0,1,1,1,51.188,10.66,0.26,53.816,12.12,0.2424,30,10.56200212,14,58,72
62,1/3/11,1,0,1,16,0,1,1,1,51.188,10.66,0.26,53.816,12.12,0.2424,30,10.56200212,9,67,76
63,1/3/11,1,0,1,17,0,1,1,1,49.712,9.84,0.24,52.457,11.365,0.2273,30,9.321372782,11,146,157
64,1/3/11,1,0,1,18,0,1,1,1,49.712,9.84,0.24,55.184,12.88,0.2576,32,4.350529057,9,148,157
65,1/3/11,1,0,1,19,0,1,1,1,46.76,8.2,0.2,55.184,12.88,0.2576,47,0,8,102,110
66,1/3/11,1,0,1,20,0,1,1,1,46.76,8.2,0.2,52.457,11.365,0.2273,47,4.350529057,3,49,52
67,1/3/11,1,0,1,21,0,1,1,1,45.284,7.38,0.18,49.73,9.85,0.197,64,5.591158395,3,49,52
68,1/3/11,1,0,1,22,0,1,1,1,42.332,5.74,0.14,45.635,7.575,0.1515,69,5.591158395,0,20,20
69,1/3/11,1,0,1,23,0,1,1,1,45.284,7.38,0.18,51.089,10.605,0.2121,55,4.350529057,1,11,12
70,1/4/11,1,0,1,0,0,2,1,1,43.808,6.56,0.16,48.362,9.09,0.1818,55,4.350529057,0,5,5
71,1/4/11,1,0,1,1,0,2,1,1,43.808,6.56,0.16,48.362,9.09,0.1818,59,4.350529057,0,2,2
72,1/4/11,1,0,1,2,0,2,1,1,42.332,5.74,0.14,45.635,7.575,0.1515,63,5.591158395,0,1,1
73,1/4/11,1,0,1,4,0,2,1,1,42.332,5.74,0.14,48.362,9.09,0.1818,63,3.730214387,0,2,2
74,1/4/11,1,0,1,5,0,2,1,1,40.856,4.92,0.12,45.635,7.575,0.1515,68,4.350529057,0,4,4
75,1/4/11,1,0,1,6,0,2,1,1,40.856,4.92,0.12,45.635,7.575,0.1515,74,4.350529057,0,36,36
76,1/4/11,1,0,1,7,0,2,1,1,40.856,4.92,0.12,45.635,7.575,0.1515,74,5.591158395,2,92,94
77,1/4/11,1,0,1,8,0,2,1,1,42.332,5.74,0.14,45.635,7.575,0.1515,69,6.835950919,2,177,179
78,1/4/11,1,0,1,9,0,2,1,1,43.808,6.56,0.16,45.635,7.575,0.1515,64,9.321372782,2,98,100
79,1/4/11,1,0,1,10,0,2,1,2,43.808,6.56,0.16,44.276,6.82,0.1364,69,13.67190184,5,37,42
80,1/4/11,1,0,1,11,0,2,1,1,48.236,9.02,0.22,51.089,10.605,0.2121,51,12.42710931,7,50,57
81,1/4/11,1,0,1,12,0,2,1,1,48.236,9.02,0.22,52.457,11.365,0.2273,51,6.835950919,12,66,78
82,1/4/11,1,0,1,13,0,2,1,1,49.712,9.84,0.24,52.457,11.365,0.2273,56,8.076580258,18,79,97
83,1/4/11,1,0,1,14,0,2,1,1,51.188,10.66,0.26,55.184,12.88,0.2576,52,9.321372782,9,54,63
84,1/4/11,1,0,1,15,0,2,1,1,52.664,11.48,0.28,56.543,13.635,0.2727,52,10.56200212,17,48,65
85,1/4/11,1,0,1,16,0,2,1,1,54.14,12.3,0.3,57.911,14.395,0.2879,49,10.56200212,15,68,83
86,1/4/11,1,0,1,17,0,2,1,1,52.664,11.48,0.28,56.543,13.635,0.2727,48,9.321372782,10,202,212
87,1/4/11,1,0,1,18,0,2,1,1,51.188,10.66,0.26,55.184,12.88,0.2576,48,8.076580258,3,179,182
88,1/4/11,1,0,1,19,0,2,1,1,49.712,9.84,0.24,55.184,12.88,0.2576,48,4.350529057,2,110,112
89,1/4/11,1,0,1,20,0,2,1,1,49.712,9.84,0.24,55.184,12.88,0.2576,48,4.350529057,1,53,54
90,1/4/11,1,0,1,21,0,2,1,1,48.236,9.02,0.22,56.543,13.635,0.2727,64,0,0,48,48
91,1/4/11,1,0,1,22,0,2,1,1,48.236,9.02,0.22,55.184,12.88,0.2576,64,3.730214387,1,34,35
92,1/4/11,1,0,1,23,0,2,1,1,46.76,8.2,0.2,52.457,11.365,0.2273,69,3.730214387,2,9,11
93,1/5/11,1,0,1,0,0,3,1,1,46.76,8.2,0.2,55.184,12.88,0.2576,64,0,0,6,6
94,1/5/11,1,0,1,1,0,3,1,1,43.808,6.56,0.16,49.73,9.85,0.197,74,3.730214387,0,6,6
95,1/5/11,1,0,1,2,0,3,1,1,43.808,6.56,0.16,49.73,9.85,0.197,74,3.730214387,0,2,2
96,1/5/11,1,0,1,4,0,3,1,1,49.712,9.84,0.24,52.457,11.365,0.2273,48,9.321372782,0,2,2
97,1/5/11,1,0,1,5,0,3,1,1,48.236,9.02,0.22,52.457,11.365,0.2273,47,6.835950919,0,3,3
98,1/5/11,1,0,1,6,0,3,1,1,46.76,8.2,0.2,49.73,9.85,0.197,47,9.321372782,0,33,33
99,1/5/11,1,0,1,7,0,3,1,1,45.284,7.38,0.18,48.362,9.09,0.1818,43,8.076580258,1,87,88
100,1/5/11,1,0,1,8,0,3,1,1,46.76,8.2,0.2,48.362,9.09,0.1818,40,12.42710931,3,192,195
101,1/5/11,1,0,1,9,0,3,1,1,48.236,9.02,0.22,49.73,9.85,0.197,37,13.67190184,6,109,115
102,1/5/11,1,0,1,10,0,3,1,1,48.236,9.02,0.22,49.73,9.85,0.197,37,13.67190184,4,53,57
103,1/5/11,1,0,1,11,0,3,1,1,51.188,10.66,0.26,52.457,11.365,0.2273,33,13.67190184,12,34,46
104,1/5/11,1,0,1,12,0,3,1,1,51.188,10.66,0.26,52.457,11.365,0.2273,33,13.67190184,5,74,79
105,1/5/11,1,0,1,13,0,3,1,1,52.664,11.48,0.28,55.184,12.88,0.2576,30,12.42710931,6,65,71
106,1/5/11,1,0,1,14,0,3,1,1,54.14,12.3,0.3,57.911,14.395,0.2879,28,8.076580258,10,52,62
107,1/5/11,1,0,1,15,0,3,1,1,54.14,12.3,0.3,57.911,14.395,0.2879,28,8.076580258,7,55,62
108,1/5/11,1,0,1,16,0,3,1,1,54.14,12.3,0.3,60.638,15.91,0.3182,28,3.730214387,4,85,89
109,1/5/11,1,0,1,17,0,3,1,1,49.712,9.84,0.24,52.457,11.365,0.2273,38,8.076580258,4,186,190
110,1/5/11,1,0,1,18,0,3,1,1,49.712,9.84,0.24,53.816,12.12,0.2424,38,5.591158395,3,166,169
111,1/5/11,1,0,1,19,0,3,1,1,49.712,9.84,0.24,55.184,12.88,0.2576,38,4.350529057,5,127,132
112,1/5/11,1,0,1,20,0,3,1,1,48.236,9.02,0.22,52.457,11.365,0.2273,47,6.835950919,7,82,89
113,1/5/11,1,0,1,21,0,3,1,1,46.76,8.2,0.2,49.73,9.85,0.197,51,8.076580258,3,40,43
114,1/5/11,1,0,1,22,0,3,1,1,45.284,7.38,0.18,49.73,9.85,0.197,55,5.591158395,1,41,42
115,1/5/11,1,0,1,23,0,3,1,1,46.76,8.2,0.2,55.184,12.88,0.2576,47,0,1,18,19
116,1/6/11,1,0,1,0,0,4,1,1,45.284,7.38,0.18,53.816,12.12,0.2424,55,0,0,11,11
117,1/6/11,1,0,1,1,0,4,1,1,43.808,6.56,0.16,52.457,11.365,0.2273,64,0,0,4,4
118,1/6/11,1,0,1,2,0,4,1,1,43.808,6.56,0.16,52.457,11.365,0.2273,64,0,0,2,2
119,1/6/11,1,0,1,4,0,4,1,2,43.808,6.56,0.16,49.73,9.85,0.197,64,3.730214387,0,1,1
120,1/6/11,1,0,1,5,0,4,1,2,42.332,5.74,0.14,48.362,9.09,0.1818,69,3.730214387,0,4,4
121,1/6/11,1,0,1,6,0,4,1,2,42.332,5.74,0.14,47.003,8.335,0.1667,63,4.350529057,0,36,36
122,1/6/11,1,0,1,7,0,4,1,2,43.808,6.56,0.16,52.457,11.365,0.2273,59,0,0,95,95
123,1/6/11,1,0,1,8,0,4,1,1,43.808,6.56,0.16,52.457,11.365,0.2273,59,0,3,216,219
124,1/6/11,1,0,1,9,0,4,1,2,45.284,7.38,0.18,53.816,12.12,0.2424,51,0,6,116,122
125,1/6/11,1,0,1,10,0,4,1,1,46.76,8.2,0.2,55.184,12.88,0.2576,47,0,3,42,45
126,1/6/11,1,0,1,11,0,4,1,1,48.236,9.02,0.22,55.184,12.88,0.2576,44,3.730214387,2,57,59
127,1/6/11,1,0,1,12,0,4,1,1,51.188,10.66,0.26,57.911,14.395,0.2879,35,0,6,78,84
128,1/6/11,1,0,1,13,0,4,1,1,51.188,10.66,0.26,56.543,13.635,0.2727,35,4.350529057,12,55,67
129,1/6/11,1,0,1,14,0,4,1,1,52.664,11.48,0.28,56.543,13.635,0.2727,36,6.835950919,11,59,70
130,1/6/11,1,0,1,15,0,4,1,1,52.664,11.48,0.28,56.543,13.635,0.2727,36,0,8,54,62
131,1/6/11,1,0,1,16,0,4,1,1,51.188,10.66,0.26,55.184,12.88,0.2576,38,6.835950919,12,74,86
132,1/6/11,1,0,1,17,0,4,1,1,48.236,9.02,0.22,52.457,11.365,0.2273,51,6.835950919,9,163,172
133,1/6/11,1,0,1,18,0,4,1,1,48.236,9.02,0.22,52.457,11.365,0.2273,51,5.591158395,5,158,163
134,1/6/11,1,0,1,19,0,4,1,1,48.236,9.02,0.22,55.184,12.88,0.2576,55,3.730214387,3,109,112
135,1/6/11,1,0,1,20,0,4,1,1,46.76,8.2,0.2,51.089,10.605,0.2121,51,6.835950919,3,66,69
136,1/6/11,1,0,1,21,0,4,1,2,48.236,9.02,0.22,51.089,10.605,0.2121,55,9.321372782,0,48,48
137,1/6/11,1,0,1,22,0,4,1,2,48.236,9.02,0.22,51.089,10.605,0.2121,51,11.80679465,1,51,52
138,1/6/11,1,0,1,23,0,4,1,2,46.76,8.2,0.2,49.73,9.85,0.197,59,8.076580258,4,19,23
139,1/7/11,1,0,1,0,0,5,1,2,46.76,8.2,0.2,49.73,9.85,0.197,64,8.076580258,4,13,17
140,1/7/11,1,0,1,1,0,5,1,2,46.76,8.2,0.2,49.73,9.85,0.197,69,9.321372782,2,5,7
141,1/7/11,1,0,1,2,0,5,1,2,46.76,8.2,0.2,49.73,9.85,0.197,69,9.321372782,0,1,1
142,1/7/11,1,0,1,4,0,5,1,2,46.76,8.2,0.2,51.089,10.605,0.2121,69,5.591158395,0,1,1
143,1/7/11,1,0,1,5,0,5,1,3,48.236,9.02,0.22,56.543,13.635,0.2727,55,0,0,5,5
144,1/7/11,1,0,1,6,0,5,1,2,46.76,8.2,0.2,55.184,12.88,0.2576,69,0,8,26,34
145,1/7/11,1,0,1,7,0,5,1,1,46.76,8.2,0.2,51.089,10.605,0.2121,69,5.591158395,8,76,84
146,1/7/11,1,0,1,8,0,5,1,1,46.76,8.2,0.2,49.73,9.85,0.197,51,10.56200212,20,190,210
147,1/7/11,1,0,1,9,0,5,1,1,46.76,8.2,0.2,48.362,9.09,0.1818,47,12.42710931,9,125,134
148,1/7/11,1,0,1,10,0,5,1,1,48.236,9.02,0.22,49.73,9.85,0.197,37,13.67190184,16,47,63
149,1/7/11,1,0,1,11,0,5,1,2,46.76,8.2,0.2,49.73,9.85,0.197,40,9.321372782,19,48,67
150,1/7/11,1,0,1,12,0,5,1,2,46.76,8.2,0.2,49.73,9.85,0.197,37,10.56200212,9,50,59
151,1/7/11,1,0,1,13,0,5,1,2,46.76,8.2,0.2,48.362,9.09,0.1818,37,11.80679465,9,64,73
152,1/7/11,1,0,1,14,0,5,1,2,46.76,8.2,0.2,49.73,9.85,0.197,40,10.56200212,7,43,50
153,1/7/11,1,0,1,15,0,5,1,2,46.76,8.2,0.2,51.089,10.605,0.2121,37,6.835950919,9,63,72
154,1/7/11,1,0,1,16,0,5,1,2,46.76,8.2,0.2,51.089,10.605,0.2121,37,6.835950919,5,82,87
155,1/7/11,1,0,1,17,0,5,1,2,46.76,8.2,0.2,55.184,12.88,0.2576,37,0,9,178,187
156,1/7/11,1,0,1,18,0,5,1,1,46.76,8.2,0.2,52.457,11.365,0.2273,40,3.730214387,7,116,123
157,1/7/11,1,0,1,19,0,5,1,1,43.808,6.56,0.16,49.73,9.85,0.197,55,3.730214387,3,92,95
158,1/7/11,1,0,1,20,0,5,1,1,45.284,7.38,0.18,51.089,10.605,0.2121,47,4.350529057,1,50,51
159,1/7/11,1,0,1,21,0,5,1,1,45.284,7.38,0.18,49.73,9.85,0.197,47,5.591158395,0,39,39
160,1/7/11,1,0,1,22,0,5,1,2,45.284,7.38,0.18,49.73,9.85,0.197,43,6.835950919,2,34,36
161,1/7/11,1,0,1,23,0,5,1,2,45.284,7.38,0.18,49.73,9.85,0.197,51,6.835950919,1,14,15
162,1/8/11,1,0,1,0,0,6,0,2,45.284,7.38,0.18,49.73,9.85,0.197,51,6.835950919,1,24,25
163,1/8/11,1,0,1,1,0,6,0,2,45.284,7.38,0.18,51.089,10.605,0.2121,55,3.730214387,1,15,16
164,1/8/11,1,0,1,2,0,6,0,2,45.284,7.38,0.18,53.816,12.12,0.2424,55,0,3,13,16
165,1/8/11,1,0,1,3,0,6,0,3,45.284,7.38,0.18,49.73,9.85,0.197,55,6.835950919,0,7,7
166,1/8/11,1,0,1,4,0,6,0,3,45.284,7.38,0.18,49.73,9.85,0.197,55,6.835950919,0,1,1
167,1/8/11,1,0,1,5,0,6,0,2,43.808,6.56,0.16,47.003,8.335,0.1667,74,6.835950919,0,5,5
168,1/8/11,1,0,1,6,0,6,0,2,43.808,6.56,0.16,47.003,8.335,0.1667,74,6.835950919,0,2,2
169,1/8/11,1,0,1,7,0,6,0,2,43.808,6.56,0.16,48.362,9.09,0.1818,74,4.350529057,1,8,9
170,1/8/11,1,0,1,8,0,6,0,3,43.808,6.56,0.16,48.362,9.09,0.1818,93,4.350529057,0,15,15
171,1/8/11,1,0,1,9,0,6,0,3,43.808,6.56,0.16,48.362,9.09,0.1818,93,4.350529057,0,20,20
172,1/8/11,1,0,1,10,0,6,0,2,45.284,7.38,0.18,49.73,9.85,0.197,80,6.835950919,5,56,61
173,1/8/11,1,0,1,11,0,6,0,2,46.76,8.2,0.2,48.362,9.09,0.1818,69,16.1573237,2,60,62
174,1/8/11,1,0,1,12,0,6,0,2,46.76,8.2,0.2,48.362,9.09,0.1818,59,14.91253118,8,90,98
175,1/8/11,1,0,1,13,0,6,0,1,46.76,8.2,0.2,48.362,9.09,0.1818,44,13.67190184,7,95,102
176,1/8/11,1,0,1,14,0,6,0,1,46.76,8.2,0.2,47.003,8.335,0.1667,32,20.50368957,12,83,95
177,1/8/11,1,0,1,15,0,6,0,1,46.76,8.2,0.2,47.003,8.335,0.1667,32,18.64274556,5,69,74
178,1/8/11,1,0,1,16,0,6,0,1,45.284,7.38,0.18,44.276,6.82,0.1364,29,18.64274556,8,68,76
179,1/8/11,1,0,1,17,0,6,0,1,43.808,6.56,0.16,42.908,6.06,0.1212,37,22.98911144,5,64,69
180,1/8/11,1,0,1,18,0,6,0,1,42.332,5.74,0.14,42.908,6.06,0.1212,39,12.42710931,3,52,55
181,1/8/11,1,0,1,19,0,6,0,1,42.332,5.74,0.14,42.908,6.06,0.1212,36,10.56200212,4,26,30
182,1/8/11,1,0,1,20,0,6,0,1,40.856,4.92,0.12,42.908,6.06,0.1212,36,10.56200212,0,28,28
183,1/8/11,1,0,1,21,0,6,0,1,40.856,4.92,0.12,41.549,5.305,0.1061,39,14.91253118,2,35,37
184,1/8/11,1,0,1,22,0,6,0,1,40.856,4.92,0.12,41.549,5.305,0.1061,36,16.1573237,1,33,34
185,1/8/11,1,0,1,23,0,6,0,1,39.38,4.1,0.1,37.454,3.03,0.0606,39,18.64274556,0,22,22
186,1/9/11,1,0,1,0,0,0,0,1,39.38,4.1,0.1,38.822,3.79,0.0758,42,16.1573237,1,24,25
187,1/9/11,1,0,1,1,0,0,0,1,39.38,4.1,0.1,37.454,3.03,0.0606,42,19.26306023,0,12,12
188,1/9/11,1,0,1,2,0,0,0,1,39.38,4.1,0.1,37.454,3.03,0.0606,46,19.26306023,0,11,11
189,1/9/11,1,0,1,3,0,0,0,1,39.38,4.1,0.1,38.822,3.79,0.0758,46,17.39795304,0,4,4
190,1/9/11,1,0,1,4,0,0,0,1,37.904,3.28,0.08,40.181,4.545,0.0909,53,8.076580258,0,1,1
191,1/9/11,1,0,1,5,0,0,0,1,37.904,3.28,0.08,40.181,4.545,0.0909,53,8.076580258,0,1,1
192,1/9/11,1,0,1,6,0,0,0,1,39.38,4.1,0.1,40.181,4.545,0.0909,49,11.80679465,0,1,1
193,1/9/11,1,0,1,7,0,0,0,1,37.904,3.28,0.08,40.181,4.545,0.0909,53,8.076580258,1,5,6
194,1/9/11,1,0,1,8,0,0,0,1,39.38,4.1,0.1,40.181,4.545,0.0909,49,11.80679465,0,10,10
195,1/9/11,1,0,1,9,0,0,0,1,40.856,4.92,0.12,38.822,3.79,0.0758,46,21.7484821,0,19,19
196,1/9/11,1,0,1,10,0,0,0,1,42.332,5.74,0.14,41.549,5.305,0.1061,43,16.1573237,0,49,49
197,1/9/11,1,0,1,11,0,0,0,1,43.808,6.56,0.16,42.908,6.06,0.1212,40,21.7484821,2,47,49
198,1/9/11,1,0,1,12,0,0,0,1,45.284,7.38,0.18,44.276,6.82,0.1364,37,18.64274556,4,79,83
199,1/9/11,1,0,1,13,0,0,0,1,46.76,8.2,0.2,47.003,8.335,0.1667,34,18.64274556,6,69,75
200,1/9/11,1,0,1,14,0,0,0,1,48.236,9.02,0.22,48.362,9.09,0.1818,32,19.26306023,8,64,72
201,1/9/11,1,0,1,15,0,0,0,1,48.236,9.02,0.22,49.73,9.85,0.197,35,14.91253118,5,77,82
202,1/9/11,1,0,1,16,0,0,0,1,46.76,8.2,0.2,47.003,8.335,0.1667,34,18.64274556,13,79,92
203,1/9/11,1,0,1,17,0,0,0,1,45.284,7.38,0.18,45.635,7.575,0.1515,37,16.1573237,3,59,62
204,1/9/11,1,0,1,18,0,0,0,1,43.808,6.56,0.16,44.276,6.82,0.1364,40,13.67190184,4,44,48
205,1/9/11,1,0,1,19,0,0,0,1,43.808,6.56,0.16,44.276,6.82,0.1364,43,13.67190184,1,40,41
206,1/9/11,1,0,1,20,0,0,0,1,42.332,5.74,0.14,42.908,6.06,0.1212,46,10.56200212,0,38,38
207,1/9/11,1,0,1,21,0,0,0,1,42.332,5.74,0.14,41.549,5.305,0.1061,46,17.39795304,1,19,20
208,1/9/11,1,0,1,22,0,0,0,1,42.332,5.74,0.14,42.908,6.06,0.1212,46,12.42710931,5,10,15
209,1/9/11,1,0,1,23,0,0,0,1,40.856,4.92,0.12,44.276,6.82,0.1364,50,8.076580258,0,6,6
210,1/10/11,1,0,1,0,0,1,1,1,40.856,4.92,0.12,42.908,6.06,0.1212,50,11.80679465,2,3,5
211,1/10/11,1,0,1,1,0,1,1,1,40.856,4.92,0.12,42.908,6.06,0.1212,50,11.80679465,1,0,1
212,1/10/11,1,0,1,2,0,1,1,1,40.856,4.92,0.12,42.908,6.06,0.1212,50,9.321372782,0,3,3
213,1/10/11,1,0,1,3,0,1,1,1,40.856,4.92,0.12,42.908,6.06,0.1212,50,9.321372782,0,1,1
214,1/10/11,1,0,1,4,0,1,1,1,39.38,4.1,0.1,42.908,6.06,0.1212,54,5.591158395,1,2,3
215,1/10/11,1,0,1,5,0,1,1,1,39.38,4.1,0.1,41.549,5.305,0.1061,54,10.56200212,0,3,3
216,1/10/11,1,0,1,6,0,1,1,1,40.856,4.92,0.12,42.908,6.06,0.1212,50,11.80679465,0,31,31
217,1/10/11,1,0,1,7,0,1,1,1,40.856,4.92,0.12,42.908,6.06,0.1212,50,9.321372782,2,75,77
218,1/10/11,1,0,1,8,0,1,1,2,40.856,4.92,0.12,42.908,6.06,0.1212,50,11.80679465,4,184,188
219,1/10/11,1,0,1,9,0,1,1,2,42.332,5.74,0.14,42.908,6.06,0.1212,50,10.56200212,2,92,94
220,1/10/11,1,0,1,10,0,1,1,2,42.332,5.74,0.14,42.908,6.06,0.1212,50,12.42710931,0,31,31
