Instant,Date,Season,Year,Month,Holiday,Weekday,Workingday,Weathersit,Temp_F,Temp_C,Temp_Normalized,Feelslike_Temp_F,Feelslike_Temp_C,Feelslike_Temp_Normalized,Humidity,Humidity_Normalized,Windspeed,Windspeed_Normalized,Not_Registered,Registered,Count
46,2/15/11,1,0,2,0,2,1,1,51.6372206,10.909567,0.266087,54.88466,12.7137,0.254274,31.4348,0.314348,12.1304407,0.291374,140,1675,1815
47,2/16/11,1,0,2,0,3,1,1,55.4876618,13.048701,0.318261,60.458,15.81,0.3162,42.3478,0.423478,10.48252691,0.251791,218,1897,2115
48,2/17/11,1,0,2,0,4,1,1,64.1644754,17.869153,0.435833,70.57922,21.4329,0.428658,50.5,0.505,9.579656823,0.230104,259,2216,2475
49,2/18/11,1,0,2,0,5,1,1,70.4990246,21.388347,0.521667,78.07847,25.59915,0.511983,51.6667,0.516667,11.02931972,0.264925,579,2348,2927
50,2/19/11,1,0,2,0,6,0,1,61.4585246,16.365847,0.399167,67.22636,19.5702,0.391404,18.7917,0.187917,21.12662705,0.507463,532,1103,1635
51,2/20/11,1,0,2,0,0,0,1,53.0490146,11.693897,0.285217,56.9597,13.8665,0.27733,40.7826,0.407826,9.293687597,0.223235,639,1173,1812
52,2/21/11,1,0,2,1,1,0,2,54.3859754,12.436653,0.303333,57.56675,14.20375,0.284075,60.5,0.605,12.81620065,0.307846,195,912,1107
53,2/22/11,1,0,2,0,2,1,1,45.4479836,7.471102,0.182222,48.74297,9.30165,0.186033,57.7778,0.577778,8.146646673,0.195683,74,1376,1450
54,2/23/11,1,0,2,0,3,1,1,48.3643382,9.091299,0.221739,54.11453,12.28585,0.245717,42.3043,0.423043,3.918098958,0.094113,139,1778,1917
55,2/24/11,1,0,2,0,4,1,2,53.8191176,12.121732,0.295652,58.02719,14.45955,0.289191,69.7391,0.697391,10.42861365,0.250496,100,1707,1807
56,2/25/11,1,0,2,0,5,1,2,58.8888824,14.938268,0.364348,63.54149,17.52305,0.350461,71.2174,0.712174,14.42706209,0.346539,120,1341,1461
57,2/26/11,1,0,2,0,6,0,1,52.8485,11.5825,0.2825,57.39728,14.1096,0.282192,53.7917,0.537917,7.767297192,0.186571,424,1545,1969
58,2/27/11,1,0,2,0,0,0,1,57.3486764,14.082598,0.343478,63.59981,17.55545,0.351109,68,0.68,5.214306826,0.125248,694,1708,2402
59,2/28/11,1,0,2,0,1,1,2,62.0567474,16.698193,0.407273,68.01062,20.0059,0.400118,87.6364,0.876364,12.06016613,0.289686,81,1365,1446
60,3/1/11,1,0,3,0,2,1,1,51.6800246,10.933347,0.266667,55.74911,13.19395,0.263879,53.5,0.535,9.010174651,0.216425,137,1714,1851
61,3/2/11,1,0,3,0,3,1,1,56.723,13.735,0.335,60.80639,16.00355,0.320071,44.9583,0.449583,12.81565944,0.307833,231,1903,2134
62,3/3/11,1,0,3,0,4,1,1,46.6369754,8.131653,0.198333,50.01197,10.00665,0.200133,31.8333,0.318333,9.398558245,0.225754,123,1562,1685
63,3/4/11,1,0,3,0,5,1,2,51.3110246,10.728347,0.261667,55.01111,12.78395,0.255679,61.0417,0.610417,8.465671594,0.203346,214,1730,1944
64,3/5/11,1,0,3,0,6,0,2,60.3515246,15.750847,0.384167,66.09011,18.93895,0.378779,78.9167,0.789167,10.48585745,0.251871,640,1437,2077
65,3/6/11,1,0,3,0,0,0,2,59.7873236,15.437402,0.376522,64.96268,18.3126,0.366252,94.8261,0.948261,14.29167529,0.343287,114,491,605
66,3/7/11,1,0,3,0,1,1,1,51.3163382,10.731299,0.261739,53.46149,11.92305,0.238461,55.1304,0.551304,14.21111765,0.341352,244,1628,1872
67,3/8/11,1,0,3,0,2,1,1,53.5865,11.9925,0.2925,59.216,15.12,0.3024,42.0833,0.420833,5.022883547,0.12065,316,1817,2133
68,3/9/11,1,0,3,0,3,1,2,53.8324754,12.129153,0.295833,57.79472,14.3304,0.286608,77.5417,0.775417,9.165253319,0.22015,191,1700,1891
69,3/10/11,1,0,3,0,4,1,3,60.7149158,15.952731,0.389091,66.71012,19.2834,0.385668,0,0,10.90242582,0.261877,46,577,623
70,3/11/11,1,0,3,0,5,1,2,55.3593236,12.977402,0.316522,59.45,15.25,0.305,64.9565,0.649565,9.698973725,0.23297,247,1730,1977
71,3/12/11,1,0,3,0,6,0,1,56.2925246,13.495847,0.329167,61.3175,16.2875,0.32575,59.4583,0.594583,9.191273229,0.220775,724,1408,2132
72,3/13/11,1,0,3,0,0,0,1,60.3648824,15.758268,0.384348,66.20819,19.00455,0.380091,52.7391,0.527391,11.26574703,0.270604,982,1435,2417
73,3/14/11,1,0,3,0,1,1,1,56.0010146,13.333897,0.325217,61.88,16.6,0.332,49.6957,0.496957,5.700483652,0.136926,359,1687,2046
74,3/15/11,1,0,3,0,2,1,2,55.4234558,13.013031,0.317391,60.63602,15.9089,0.318178,65.5652,0.655652,7.673125932,0.184309,289,1767,2056
75,3/16/11,1,0,3,0,3,1,2,58.9530146,14.973897,0.365217,65.0237,18.3465,0.36693,77.6522,0.776522,8.456137898,0.203117,321,1871,2192
76,3/17/11,1,0,3,0,4,1,1,62.627,17.015,0.415,68.92997,20.51665,0.410333,60.2917,0.602917,8.725162958,0.209579,424,2320,2744
77,3/18/11,1,0,3,0,5,1,1,71.852,22.14,0.54,79.43081,26.35045,0.527009,52.5217,0.525217,9.617666709,0.231017,884,2355,3239
78,3/19/11,1,0,3,0,6,0,1,66.8705,19.3725,0.4725,73.98725,23.32625,0.466525,37.9167,0.379167,15.3274759,0.368167,1424,1693,3117
79,3/20/11,1,0,3,0,0,0,1,56.5385,13.6325,0.3325,61.3175,16.2875,0.32575,47.375,0.47375,8.647810968,0.207721,1047,1424,2471
80,3/21/11,2,0,3,0,1,1,2,63.766103,17.647835,0.430435,68.87615,20.48675,0.409735,73.7391,0.737391,12.02257256,0.288783,401,1676,2077
81,3/22/11,2,0,3,0,2,1,1,64.5950246,18.108347,0.441667,71.65778,22.0321,0.440642,62.4583,0.624583,9.398391718,0.22575,460,2243,2703
82,3/23/11,2,0,3,0,3,1,2,57.6054266,14.225237,0.346957,62.41451,16.89695,0.337939,83.9565,0.839565,9.752720453,0.234261,203,1918,2121
83,3/24/11,2,0,3,0,4,1,2,53.033,11.685,0.285,56.37497,13.54165,0.270833,80.5833,0.805833,10.14930552,0.243787,166,1699,1865
84,3/25/11,2,0,3,0,5,1,1,51.4955246,10.830847,0.264167,55.06808,12.8156,0.256312,49.5,0.495,9.605510206,0.230725,300,1910,2210
85,3/26/11,2,0,3,0,6,0,1,51.6184754,10.899153,0.265833,55.18139,12.87855,0.257571,39.4167,0.394167,8.724829903,0.209571,981,1515,2496
86,3/27/11,2,0,3,0,0,0,2,50.6745734,10.374763,0.253043,54.53051,12.51695,0.250339,49.3913,0.493913,7.672751245,0.1843,472,1221,1693
87,3/28/11,2,0,3,0,1,1,1,51.5088824,10.838268,0.264348,55.18166,12.8787,0.257574,30.2174,0.302174,8.834446583,0.212204,222,1806,2028
88,3/29/11,2,0,3,0,2,1,1,54.3245,12.4025,0.3025,58.36172,14.6454,0.292908,31.4167,0.314167,9.450265012,0.226996,317,2108,2425
89,3/30/11,2,0,3,0,3,1,2,54.14,12.3,0.3,58.7615,14.8675,0.29735,64.6667,0.646667,7.197648493,0.172888,168,1368,1536
90,3/31/11,2,0,3,0,4,1,3,51.8029754,11.001653,0.268333,55.18175,12.87875,0.257575,91.8333,0.918333,9.061007149,0.217646,179,1506,1685
91,4/1/11,2,0,4,0,5,1,2,54.14,12.3,0.3,57.51086,14.1727,0.283454,68.625,0.68625,10.77049446,0.258708,307,1920,2227
92,4/2/11,2,0,4,0,6,0,2,55.247,12.915,0.315,60.40733,15.78185,0.315637,65.375,0.65375,8.20755408,0.197146,898,1354,2252
93,4/3/11,2,0,4,0,0,0,1,59.9209754,15.511653,0.378333,66.08903,18.93835,0.378767,48,0.48,7.58586556,0.182213,1651,1598,3249
94,4/4/11,2,0,4,0,1,1,1,74.3119754,23.506653,0.573333,80.86361,27.14645,0.542929,42.625,0.42625,16.05203674,0.385571,734,2381,3115
95,4/5/11,2,0,4,0,2,1,2,62.5655246,16.980847,0.414167,67.8515,19.9175,0.39835,64.2083,0.642083,16.15594985,0.388067,167,1628,1795
96,4/6/11,2,0,4,0,3,1,1,60.8434754,16.024153,0.390833,66.88472,19.3804,0.387608,47.0833,0.470833,10.9518012,0.263063,413,2395,2808
97,4/7/11,2,0,4,0,4,1,1,64.2875,17.9375,0.4375,71.03264,21.6848,0.433696,60.2917,0.602917,6.757349973,0.162312,571,2570,3141
98,4/8/11,2,0,4,0,5,1,2,56.7844754,13.769153,0.335833,61.20311,16.22395,0.324479,83.625,0.83625,9.450098484,0.226992,172,1299,1471
99,4/9/11,2,0,4,0,6,0,2,57.2765,14.0425,0.3425,62.73761,17.07645,0.341529,87.75,0.8775,5.540492425,0.133083,879,1576,2455
100,4/10/11,2,0,4,0,0,0,2,63.4880246,17.493347,0.426667,70.40633,21.33685,0.426737,85.75,0.8575,6.110182756,0.146767,1188,1707,2895
101,4/11/11,2,0,4,0,1,1,2,75.9591176,24.421732,0.595652,82.86953,28.26085,0.565217,71.6956,0.716956,13.50845517,0.324474,855,2493,3348
102,4/12/11,2,0,4,0,2,1,2,69.0845,20.6025,0.5025,76.37486,24.6527,0.493054,73.9167,0.739167,11.44372322,0.274879,257,1777,2034
103,4/13/11,2,0,4,0,3,1,2,62.4425,16.9125,0.4125,69.55547,20.86415,0.417283,81.9167,0.819167,10.43365111,0.250617,209,1953,2162
104,4/14/11,2,0,4,0,4,1,1,66.5015,19.1675,0.4675,73.64678,23.1371,0.462742,54.0417,0.540417,4.60864657,0.1107,529,2738,3267
105,4/15/11,2,0,4,1,5,0,1,64.9640246,18.313347,0.446667,71.77217,22.09565,0.441913,67.125,0.67125,9.424411628,0.226375,642,2484,3126
106,4/16/11,2,0,4,0,6,0,3,63.7954754,17.664153,0.430833,70.29428,21.2746,0.425492,88.8333,0.888333,14.18846992,0.340808,121,674,795
107,4/17/11,2,0,4,0,0,0,1,65.7020246,18.723347,0.456667,72.11264,22.2848,0.445696,47.9583,0.479583,12.63510207,0.303496,1558,2186,3744
108,4/18/11,2,0,4,0,1,1,1,69.8225,21.0125,0.5125,77.28314,25.1573,0.503146,54.25,0.5425,6.809597954,0.163567,669,2760,3429
109,4/19/11,2,0,4,0,2,1,2,69.3304754,20.739153,0.505833,76.03322,24.4629,0.489258,66.5833,0.665833,6.576626082,0.157971,409,2795,3204
110,4/20/11,2,0,4,0,3,1,1,75.911,24.395,0.595,82.79528,28.2196,0.564392,61.4167,0.614167,10.071787,0.241925,613,3331,3944
111,4/21/11,2,0,4,0,4,1,1,65.8865246,18.825847,0.459167,72.85028,22.6946,0.453892,40.7083,0.407083,13.54109454,0.325258,745,3444,4189
112,4/22/11,2,0,4,0,5,1,2,56.8460246,13.803347,0.336667,60.97586,16.0977,0.321954,72.9583,0.729583,9.13906688,0.219521,177,1506,1683
113,4/23/11,2,0,4,0,6,0,2,65.948,18.86,0.46,72.51089,22.50605,0.450121,88.7917,0.887917,9.605510206,0.230725,1462,2574,4036
114,4/24/11,2,0,4,0,0,0,2,74.9270246,23.848347,0.581667,81.65867,27.58815,0.551763,81.0833,0.810833,8.000602119,0.192175,1710,2481,4191
115,4/25/11,2,0,4,0,1,1,1,76.7720246,24.873347,0.606667,83.705,28.725,0.5745,77.6667,0.776667,7.715756953,0.185333,773,3300,4073
116,4/26/11,2,0,4,0,2,1,1,78.6170246,25.898347,0.631667,85.46747,29.70415,0.594083,72.9167,0.729167,13.59280131,0.3265,678,3722,4400
117,4/27/11,2,0,4,0,3,1,2,77.756,25.42,0.62,83.76278,28.7571,0.575142,83.5417,0.835417,12.99746576,0.3122,547,3325,3872
118,4/28/11,2,0,4,0,4,1,2,77.5715,25.3175,0.6175,84.10361,28.94645,0.578929,70.0833,0.700833,13.35999597,0.320908,569,3489,4058
119,4/29/11,2,0,4,0,5,1,1,69.638,20.91,0.51,76.77167,24.87315,0.497463,45.7083,0.457083,9.994268487,0.240063,878,3717,4595
120,4/30/11,2,0,4,0,6,0,1,66.8705,19.3725,0.4725,73.76189,23.20105,0.464021,50.3333,0.503333,9.786608784,0.235075,1965,3347,5312
121,5/1/11,2,0,5,0,0,0,2,65.3330246,18.518347,0.451667,72.33836,22.4102,0.448204,76.2083,0.762083,4.427714519,0.106354,1138,2213,3351
122,5/2/11,2,0,5,0,1,1,2,72.5285246,22.515847,0.549167,79.95497,26.64165,0.532833,73,0.73,7.637530694,0.183454,847,3554,4401
123,5/3/11,2,0,5,0,2,1,2,77.5100246,25.283347,0.616667,84.38711,29.10395,0.582079,69.7083,0.697083,14.26586354,0.342667,603,3848,4451
124,5/4/11,2,0,5,0,3,1,2,62.5655246,16.980847,0.414167,68.4185,20.2325,0.40465,73.7083,0.737083,13.69671443,0.328996,255,2378,2633
125,5/5/11,2,0,5,0,4,1,1,65.8865246,18.825847,0.459167,71.77253,22.09585,0.441917,44.4167,0.444167,12.2977175,0.295392,614,3819,4433
126,5/6/11,2,0,5,0,5,1,1,67.3625246,19.645847,0.479167,74.67053,23.70585,0.474117,59,0.59,9.502304833,0.228246,894,3714,4608
127,5/7/11,2,0,5,0,6,0,1,70.376,21.32,0.52,78.13589,25.63105,0.512621,54.125,0.54125,6.679831456,0.16045,1612,3102,4714
128,5/8/11,2,0,5,0,0,0,1,70.9909754,21.661653,0.528333,78.70397,25.94665,0.518933,63.1667,0.631667,3.107297727,0.0746375,1401,2932,4333
129,5/9/11,2,0,5,0,1,1,1,71.2985,21.8325,0.5325,79.27214,26.2623,0.525246,58.875,0.58875,7.327206832,0.176,664,3698,4362
130,5/10/11,2,0,5,0,2,1,1,71.2985,21.8325,0.5325,79.04489,26.13605,0.522721,48.9167,0.489167,4.815598531,0.115671,694,4109,4803
131,5/11/11,2,0,5,0,3,1,1,72.0365,22.2425,0.5425,79.556,26.42,0.5284,63.2917,0.632917,5.022550492,0.120642,550,3632,4182
132,5/12/11,2,0,5,0,4,1,1,71.483,21.935,0.535,79.10267,26.16815,0.523363,74.75,0.7475,7.896189422,0.189667,695,4169,4864
133,5/13/11,2,0,5,0,5,1,2,69.8225,21.0125,0.5125,76.487,24.715,0.4943,86.3333,0.863333,7.482285499,0.179725,692,3413,4105
134,5/14/11,2,0,5,0,6,0,2,70.4374754,21.354153,0.520833,77.05661,25.03145,0.500629,92.25,0.9225,5.618219102,0.13495,902,2507,3409
135,5/15/11,2,0,5,0,0,0,2,73.5125,23.0625,0.5625,80.24,26.8,0.536,86.7083,0.867083,6.368799852,0.152979,1582,2971,4553
136,5/16/11,2,0,5,0,1,1,1,74.6195,23.6775,0.5775,81.54608,27.5256,0.550512,78.7917,0.787917,5.281875329,0.126871,773,3185,3958
137,5/17/11,2,0,5,0,2,1,2,73.4510246,23.028347,0.561667,80.46761,26.92645,0.538529,83.7917,0.837917,11.54676207,0.277354,678,3445,4123
138,5/18/11,2,0,5,0,3,1,2,72.59,22.55,0.55,79.44422,26.3579,0.527158,87,0.87,8.388486131,0.201492,536,3319,3855
139,5/19/11,2,0,5,0,4,1,2,71.1754754,21.764153,0.530833,77.96678,25.5371,0.510742,82.9583,0.829583,4.505108142,0.108213,735,3840,4575
140,5/20/11,2,0,5,0,5,1,1,71.6060246,22.003347,0.536667,79.61378,26.4521,0.529042,71.9583,0.719583,5.204523339,0.125013,909,4008,4917
141,5/21/11,2,0,5,0,6,0,1,76.4645,24.7025,0.6025,83.47775,28.59875,0.571975,62.6667,0.626667,5.022883547,0.12065,2258,3547,5805
142,5/22/11,2,0,5,0,0,0,1,76.5875246,24.770847,0.604167,83.705,28.725,0.5745,74.9583,0.749583,6.161847891,0.148008,1576,3084,4660
143,5/23/11,2,0,5,0,1,1,2,78.6170246,25.898347,0.631667,85.12664,29.5148,0.590296,81,0.81,9.735276705,0.233842,836,3438,4274
144,5/24/11,2,0,5,0,2,1,2,80.708,27.06,0.66,86.43317,30.24065,0.604813,74.0833,0.740833,8.62162453,0.207092,659,3833,4492
145,5/25/11,2,0,5,0,3,1,1,80.7694754,27.094153,0.660833,87.39878,30.7771,0.615542,69.625,0.69625,6.421006201,0.154233,740,4238,4978
146,5/26/11,2,0,5,0,4,1,1,84.2749754,29.041653,0.708333,90.92192,32.7344,0.654688,67.75,0.6775,8.311467195,0.199642,758,3919,4677
147,5/27/11,2,0,5,0,5,1,1,82.3070246,27.948347,0.681667,89.33072,31.8504,0.637008,65.375,0.65375,10.01991371,0.240679,871,3808,4679
148,5/28/11,2,0,5,0,6,0,1,80.4004754,26.889153,0.655833,87.11411,30.61895,0.612379,72.9583,0.729583,9.579157241,0.230092,2001,2757,4758
149,5/29/11,2,0,5,0,0,0,1,81.2615,27.3675,0.6675,87.3995,30.7775,0.61555,81.875,0.81875,8.906636223,0.213938,2355,2433,4788
150,5/30/11,2,0,5,1,1,0,1,86.1199754,30.066653,0.733333,92.39828,33.5546,0.671092,68.5,0.685,5.463140435,0.131225,1549,2549,4098
151,5/31/11,2,0,5,0,2,1,1,89.195,31.775,0.775,97.28447,36.26915,0.725383,63.6667,0.636667,4.634833008,0.111329,673,3309,3982
152,6/1/11,2,0,6,0,3,1,2,88.3955246,31.330847,0.764167,96.88703,36.04835,0.720967,67.7083,0.677083,8.62162453,0.207092,513,3461,3974
153,6/2/11,2,0,6,0,4,1,1,84.767,29.315,0.715,89.95478,32.1971,0.643942,30.5,0.305,12.16845059,0.292287,736,4232,4968
154,6/3/11,2,0,6,0,5,1,1,77.756,25.42,0.62,84.84197,29.35665,0.587133,35.4167,0.354167,10.53789728,0.253121,898,4414,5312
155,6/4/11,2,0,6,0,6,0,1,78.863,26.035,0.635,85.52264,29.7348,0.594696,45.625,0.45625,5.126630135,0.123142,1869,3473,5342
156,6/5/11,2,0,6,0,0,0,2,79.8469754,26.581653,0.648333,87.51236,30.8402,0.616804,65.25,0.6525,5.774005511,0.138692,1685,3221,4906
157,6/6/11,2,0,6,0,1,1,1,82.0609754,27.811653,0.678333,87.96722,31.0929,0.621858,60,0.6,5.074756841,0.121896,673,3875,4548
158,6/7/11,2,0,6,0,2,1,1,84.2135,29.0075,0.7075,91.0355,32.7975,0.65595,59.7917,0.597917,7.818795799,0.187808,763,4070,4833
159,6/8/11,2,0,6,0,3,1,1,89.2564754,31.809153,0.775833,97.45511,36.36395,0.727279,62.2083,0.622083,5.695945779,0.136817,676,3725,4401
160,6/9/11,2,0,6,0,4,1,2,91.6549754,33.141653,0.808333,100.18211,37.87895,0.757579,56.8333,0.568333,6.239907623,0.149883,563,3352,3915
161,6/10/11,2,0,6,0,5,1,1,87.719,30.955,0.755,95.29628,35.1646,0.703292,60.5,0.605,5.851524029,0.140554,815,3771,4586
162,6/11/11,2,0,6,0,6,0,1,85.505,29.725,0.725,93.02342,33.9019,0.678038,65.4583,0.654583,6.446693056,0.15485,1729,3237,4966
163,6/12/11,2,0,6,0,0,0,1,83.1065,28.3925,0.6925,89.89925,32.16625,0.643325,74.7917,0.747917,6.809597954,0.163567,1467,2993,4460
164,6/13/11,2,0,6,0,1,1,1,78.863,26.035,0.635,86.14886,30.0827,0.601654,49.4583,0.494583,12.71228753,0.30535,863,4157,5020
165,6/14/11,2,0,6,0,2,1,1,76.5875246,24.770847,0.604167,85.23914,29.5773,0.591546,50.7083,0.507083,11.21075135,0.269283,727,4164,4891
166,6/15/11,2,0,6,0,3,1,1,78.2480246,25.693347,0.626667,84.89786,29.3877,0.587754,47.1667,0.471667,6.990488373,0.167912,769,4411,5180
167,6/16/11,2,0,6,0,4,1,2,78.3709754,25.761653,0.628333,85.58114,29.7673,0.595346,68.8333,0.688333,8.595771147,0.206471,545,3222,3767
168,6/17/11,2,0,6,0,5,1,1,79.9085246,26.615847,0.649167,86.03447,30.01915,0.600383,73.5833,0.735833,5.954562875,0.143029,863,3981,4844
169,6/18/11,2,0,6,0,6,0,1,83.4140246,28.563347,0.696667,89.95586,32.1977,0.643954,67.0417,0.670417,4.971176781,0.119408,1807,3312,5119
170,6/19/11,2,0,6,0,0,0,2,83.5985246,28.665847,0.699167,90.12614,32.2923,0.645846,66.6667,0.666667,4.246449414,0.102,1639,3105,4744
